Month,TotalAttendances,CovidPeriod,DateFormatted,Female,Male,UnknownSex,18-24,25-39,40-64,65-74,75 plus,Under 18,UnknownAge,SIMD1,SIMD2,SIMD3,SIMD4,SIMD5,UnknownSIMD,ED,MIU,S08000015,S08000016,S08000017,S08000019,S08000020,S08000022,S08000024,S08000025,S08000026,S08000028,S08000029,S08000030,S08000031,S08000032
201801,121857,4,2018-01-01,0.4898282412992278,0.4896559081546402,0.02051585054613194,0.09290397761310389,0.18035073898093665,0.27254897133525363,0.0954397367406058,0.13713615139056434,0.20110457339340373,0.02051585054613194,0.2761105229900621,0.22327810466366316,0.17637066397498707,0.15509162378853902,0.14111622639651394,0.028032858186234685,0.8710537761474515,0.12894622385254847,0.06780078288485684,0.01962956580253904,0.030043411539755614,0.051650705334941774,0.065338880819321,0.03774095866466432,0.17891462944270745,0.0037256784591775606,0.00496483583216393,0.005391565523523475,0.05772339709659683,0.06734943417284193,0.27813748902401997,0.13158866540289027
201802,115158,4,2018-02-01,0.4868615293770298,0.493565362371698,0.019573108251272165,0.09739662029559389,0.18073429548967507,0.263637784608972,0.08883447090084927,0.1247937616144775,0.2250299588391601,0.019573108251272165,0.27617707844874,0.22116570277358066,0.17490751836607096,0.15672380555410828,0.14370690703207767,0.027318987825422466,0.8684416193403846,0.13155838065961548,0.06802827419718994,0.01860921516525122,0.028890741416141303,0.05155525451987704,0.06334774831101617,0.03787839316417444,0.17775577901665537,0.004133451431945674,0.005149446846940725,0.005418642213306935,0.0572344083780545,0.06771566022334531,0.2817520276489692,0.13253095746713212
201803,130521,4,2018-03-01,0.48583752806061864,0.4935604232269136,0.020602048712467725,0.09476635943641253,0.1769063982041204,0.266301974394925,0.08918105132507413,0.12677653404433004,0.2254656338826702,0.020602048712467725,0.2749825698546594,0.22106787413519666,0.17548900176983015,0.15622007186583,0.14459742110464982,0.027643061269833975,0.8717447767025995,0.1282552232974004,0.07145976509527202,0.01880157216080171,0.02918304334168448,0.052075911156059175,0.06457964618720359,0.038675768650255515,0.1756269106120854,0.003930402004275174,0.004918748707104604,0.005478045678473196,0.05568452586173872,0.06445706054964336,0.2807057868082531,0.13442281318714996
201804,130050,4,2018-04-01,0.47753940792003075,0.5003921568627451,0.022068435217224146,0.09340253748558247,0.18202998846597462,0.2703729334871203,0.09060361399461746,0.1229527104959631,0.2185697808535179,0.022068435217224146,0.2748327566320646,0.2182083813917724,0.17673971549404074,0.15760861207227989,0.140561322568243,0.03204921184159938,0.8689042675893887,0.13109573241061132,0.06995001922337563,0.019569396386005383,0.028996539792387543,0.05321030372933487,0.06405228758169934,0.038008458285274896,0.1723106497500961,0.00409842368319877,0.004975009611687812,0.005597846981930028,0.05992310649750096,0.06909650134563629,0.2776393694732795,0.13257208765859285
201805,143943,4,2018-05-01,0.47334014158382137,0.49436929895861553,0.03229055945756306,0.08939649722459585,0.17339502441938823,0.25946381553809494,0.08755549071507472,0.1179703076912389,0.2399283049540443,0.03229055945756306,0.27174645519406987,0.21832253044607935,0.1744162619925943,0.15613124639614293,0.14119477848870735,0.03818872748240623,0.8649256997561535,0.13507430024384653,0.06893700978859688,0.019083942949639787,0.02902537810105389,0.053667076551134826,0.064226812001973,0.04083560853949133,0.16856672432838,0.004140527847828654,0.004585148287863946,0.005446600390432324,0.06086436992420611,0.07167420437256414,0.27802671890956837,0.13091987800726676
201806,137458,4,2018-06-01,0.4771639337106607,0.49546043155000075,0.027375634739338562,0.08776499003331927,0.1789201065052598,0.2630112470718329,0.08915450537618763,0.11909819726752899,0.2346753190065329,0.027375634739338562,0.27044624539859446,0.21883047912817005,0.17621382531391408,0.15601129072152947,0.14160689083210873,0.03689126860568319,0.8659299567868003,0.13407004321319968,0.07069795864918739,0.020304383884532002,0.029827292700315734,0.05441662180447846,0.06578736777779394,0.042376580482765644,0.1674329613409187,0.004714167236537706,0.005012440163540863,0.005856334298476626,0.0598437340860481,0.07012323764349838,0.2749057894047636,0.12870113052714283
201807,136693,4,2018-07-01,0.4772738911282947,0.49070544943779126,0.03202065943391395,0.09693254226624626,0.18887580197961856,0.2785585216507063,0.09452568895261644,0.12488569275676151,0.18420109296013695,0.03202065943391395,0.27702954796514817,0.21731910192914047,0.17296423372081965,0.1527876336023059,0.1355153519199959,0.04438413086258989,0.8647480119684254,0.1352519880315744,0.06968169547818835,0.02054969896044421,0.03048437008478854,0.05442122127687592,0.06443636470046016,0.04218211612884347,0.1662118762482351,0.004316241504685682,0.004623499374510765,0.0062914706678469275,0.060222542485716166,0.07270306453146833,0.2752664730454376,0.12860936551249882
201808,136202,4,2018-08-01,0.4712852968385193,0.4911822146517672,0.03753248850971352,0.09375780091334929,0.1858122494530183,0.27008413973363093,0.08927181686025168,0.12104814907270084,0.20249335545733543,0.03753248850971352,0.26674351331111146,0.2165827227206649,0.1726479787374635,0.15461593809195165,0.13851485293901705,0.05089499419979149,0.8659197368614264,0.1340802631385736,0.06804599051408937,0.02013186296823835,0.030858577700767977,0.05314165724438701,0.0642648419259629,0.043134462049015436,0.17518098118970352,0.004566746450125549,0.0048310597494897285,0.005579947431021571,0.05841323915948371,0.06970529067120894,0.27154520491622736,0.13060013803027856
201809,132796,4,2018-09-01,0.47449471369619567,0.4984035663724811,0.027101719931323234,0.0968779180095786,0.17742251272628692,0.26076086629115336,0.0889409319557818,0.12144191090093075,0.22745414018494534,0.027101719931323234,0.27120545799572277,0.215669146661044,0.17497514985391127,0.15679689147263473,0.14355854091990722,0.037794813096780025,0.8703198891532876,0.12968011084671224,0.06996445676074582,0.019782222356095062,0.02956414349829814,0.054226030904545315,0.06692972679899997,0.03953432332299166,0.17272357601132565,0.004307358655381186,0.004435374559474683,0.0055348052652188316,0.05834513087743607,0.07089821982589838,0.27495557095093226,0.128799060212657
201810,131022,4,2018-10-01,0.48300285448245334,0.4945352688861412,0.022461876631405413,0.10103646715818718,0.18231289401779854,0.26629878951626446,0.09014516646059441,0.1266352215658439,0.21110958464990612,0.022461876631405413,0.2732289233869121,0.21844423073987573,0.17677947214971532,0.15436338935445956,0.14321259025201874,0.033971394117018515,0.8728228847063852,0.1271771152936148,0.07160629512600937,0.02080566622399292,0.02907145364900551,0.05389934514814306,0.06173772343575888,0.03719985956556914,0.17608493230144556,0.0037627268702965914,0.004983895834287371,0.005060218894536795,0.05763154279433988,0.0653630687976065,0.2810978308986277,0.1316954404603807
