Month,TotalAttendances,CovidPeriod,Female,Male,UnknownSex,18-24,25-39,40-64,65-74,75 plus,Under 18,UnknownAge,SIMD1,SIMD2,SIMD3,SIMD4,SIMD5,UnknownSIMD,ED,MIU,S08000015,S08000016,S08000017,S08000019,S08000020,S08000022,S08000024,S08000025,S08000026,S08000028,S08000029,S08000030,S08000031,S08000032,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,sin_month,cos_month,Time
201808,136202,1,0.4712852968385193,0.4911822146517672,0.03753248850971352,0.09375780091334929,0.1858122494530183,0.27008413973363093,0.08927181686025168,0.12104814907270084,0.20249335545733543,0.03753248850971352,0.26674351331111146,0.2165827227206649,0.1726479787374635,0.15461593809195165,0.13851485293901705,0.05089499419979149,0.8659197368614264,0.1340802631385736,0.06804599051408937,0.02013186296823835,0.030858577700767977,0.05314165724438701,0.0642648419259629,0.043134462049015436,0.1751809811897035,0.004566746450125549,0.0048310597494897285,0.005579947431021572,0.05841323915948371,0.06970529067120894,0.27154520491622736,0.13060013803027856,0.15395515484354122,0.14445456013861765,0.12281757977122215,0.1319730987797536,0.15564382314503458,0.1312462372065021,0.1599095461153287,-0.8660254037844384,-0.5000000000000004,212
201809,132796,1,0.47449471369619567,0.49840356637248107,0.027101719931323234,0.0968779180095786,0.17742251272628692,0.26076086629115336,0.0889409319557818,0.12144191090093075,0.22745414018494534,0.027101719931323234,0.27120545799572277,0.215669146661044,0.17497514985391127,0.15679689147263473,0.14355854091990722,0.037794813096780025,0.8703198891532877,0.12968011084671224,0.06996445676074581,0.019782222356095062,0.029564143498298143,0.05422603090454531,0.06692972679899997,0.03953432332299166,0.17272357601132565,0.004307358655381186,0.004435374559474683,0.005534805265218831,0.05834513087743607,0.07089821982589838,0.27495557095093226,0.128799060212657,0.12591493719690353,0.15004216994487785,0.1556070965992952,0.16835597457754753,0.1295295039007199,0.13676616765565228,0.13378415012500378,-1.0,-1.8369701987210297e-16,243
201810,131022,1,0.48300285448245334,0.49453526888614124,0.022461876631405413,0.10103646715818718,0.18231289401779857,0.26629878951626446,0.09014516646059441,0.1266352215658439,0.21110958464990612,0.022461876631405413,0.2732289233869121,0.21844423073987573,0.17677947214971532,0.15436338935445956,0.14321259025201874,0.033971394117018515,0.8728228847063851,0.1271771152936148,0.07160629512600937,0.02080566622399292,0.02907145364900551,0.05389934514814306,0.06173772343575888,0.03719985956556914,0.17608493230144556,0.0037627268702965914,0.004983895834287371,0.005060218894536796,0.057631542794339886,0.0653630687976065,0.2810978308986277,0.1316954404603807,0.12216269023522768,0.18077116820076017,0.12068202286638885,0.12747477522858758,0.1261849155103723,0.16299552746866938,0.15972890048999405,-0.8660254037844386,0.5000000000000001,273
201811,128697,1,0.47945173547168934,0.5009052270060685,0.019643037522242165,0.0979665415666255,0.17351608817610356,0.2591746505357545,0.08690179258257769,0.12377133888124821,0.23902655073544837,0.019643037522242165,0.27420996604427456,0.2189173018796087,0.1757072814440119,0.1566780888443398,0.14389612811487448,0.03059123367289059,0.8774718913416784,0.12252810865832148,0.07049115363994499,0.01899811184409893,0.02833787889383591,0.05279066334102582,0.06257333115768045,0.03589050249811573,0.18146499141394123,0.004040498224511838,0.005299268825225141,0.004879678624987374,0.0579500687661717,0.0655182327482381,0.28031733451440205,0.1314482855078207,0.1589236734345012,0.1525210377864286,0.11967644933448332,0.13692626867759156,0.16260674296992159,0.13664654187743305,0.1326992859196407,-0.5000000000000004,0.8660254037844384,304
201812,131081,1,0.4869126723171169,0.49177226295191523,0.021315064730967875,0.0904326332572989,0.17312196275585326,0.2699170741755098,0.0977639779983369,0.13834957011313614,0.2090997169688971,0.021315064730967875,0.2732585195413523,0.21956652756692427,0.17650918134588536,0.1555297869256414,0.14285823269581405,0.03227775192438263,0.8849184855165891,0.11508151448341102,0.0709408686232177,0.0187975374005386,0.02950084299021216,0.05296724925809233,0.06415117370175692,0.037648476895965094,0.18002609073778808,0.004081445823574737,0.004951137083177577,0.005286807393901481,0.05664436493465872,0.06435715321061024,0.28065089524797643,0.12999595669852992,0.1238394580450256,0.17177165264225938,0.1523943210686522,0.16378422502117013,0.13056049313020193,0.1279285327392986,0.12972131735339218,-2.4492935982947064e-16,1.0,334
201901,131960,1,0.48591997575022733,0.4969612003637466,0.017118823886026067,0.0923992118823886,0.179531676265535,0.2704228554107305,0.09168687481054864,0.13373749621097303,0.21510306153379813,0.017118823886026067,0.28041073052440135,0.22191573204001214,0.17394665050015157,0.15501667171870265,0.14021673234313428,0.02849348287359806,0.8791073052440134,0.12089269475598666,0.07025613822370415,0.019513488936041226,0.02807668990603213,0.05241739921188238,0.06241285237950894,0.03635192482570476,0.17873598060018187,0.003940588056986966,0.004736283722340103,0.004849954531676266,0.05605486511063959,0.06342073355562292,0.28354046680812367,0.13569263413155502,0.12431039709002728,0.14276295847226433,0.1227872082449227,0.12716732343134282,0.1627993331312519,0.16006365565322825,0.16010912397696273,0.49999999999999994,0.8660254037844387,365
201902,123398,1,0.48185545956984716,0.4991896140942317,0.018954926335921166,0.09607935298789283,0.17661550430314915,0.26744355662166325,0.08864811423199728,0.12465356002528404,0.22760498549409228,0.018954926335921166,0.2755798311155772,0.2197442422081395,0.17293635229096097,0.15569134021621095,0.14265223099239857,0.03339600317671275,0.8736770450088333,0.1263229549911668,0.06891521742653851,0.018760433718536768,0.02960339713771698,0.05138657028476961,0.0655359081994846,0.03659702750449765,0.17943564725522293,0.004051929528841635,0.004991977179532894,0.004927146307071428,0.05770758034976256,0.06632198252807987,0.27886189403393896,0.1329032885460056,0.13637984408175172,0.15977568518128332,0.13325175448548598,0.14372194038801278,0.14073161639572765,0.14426489894487754,0.14187426052286098,0.8660254037844386,0.5000000000000001,396
201903,137182,1,0.4780802146054147,0.498476476505664,0.023443308888921287,0.09534049656660494,0.17706404630345088,0.2570526745491391,0.08862678777099037,0.12130600224519252,0.2371666836757009,0.023443308888921287,0.2758962546106632,0.21690892391130032,0.17275590091994578,0.1557128486244551,0.1441953025907189,0.03453076934291671,0.8727165371550203,0.12728346284497966,0.07127757285941304,0.01866134040909157,0.027365106209269435,0.054037701739295244,0.06433059730868482,0.03698735985770728,0.17691825458150487,0.00402385152571037,0.0048694435129973315,0.005219343645667799,0.057813707337697376,0.06763277981076235,0.2789943287020163,0.13186861250018225,0.15434240643816244,0.1473152454403639,0.1489262439678675,0.15853391844411074,0.1284352174483533,0.1321383271857824,0.13030864107535975,1.0,6.123233995736766e-17,424
201904,137544,1,0.479126679462572,0.4987494910719479,0.022123829465480138,0.09460245448729133,0.17810300703774792,0.2698336532309661,0.09027656604432037,0.12782091548886174,0.2172395742453324,0.022123829465480138,0.2741450008724481,0.2206275809922643,0.17317367533298436,0.15520851509335196,0.14015151515151514,0.03669371255743616,0.8709867387890421,0.12901326121095794,0.07144622811609376,0.02016809166521259,0.030390275111964172,0.054687954400046535,0.06323067527482115,0.040125341708835,0.1720176816146106,0.004115046821380795,0.0047184900831733845,0.005394637352410865,0.05862851160355958,0.0673093700924795,0.2745376025126505,0.1332300936427616,0.12716657942185774,0.18484993892863374,0.12379311347641482,0.1313543302506834,0.13054731576804512,0.17291921130692725,0.12936951084743792,0.8660254037844387,-0.49999999999999983,455
201905,142439,1,0.4787663491038269,0.4964791946026018,0.024754456293571283,0.09116183067839564,0.17857468811210414,0.26522932623789836,0.08847296035495897,0.12393375409824557,0.22787298422482608,0.024754456293571283,0.27157590266710663,0.2206137364064617,0.1749871874978061,0.1551471156073828,0.13910516080567822,0.038570897015564556,0.8703585394449553,0.1296414605550446,0.07146216977091949,0.019819010242981206,0.03049024494695975,0.05479538609510036,0.06255309290292686,0.04081045219357058,0.17112588546676122,0.004135103447791686,0.004788014518495636,0.005497089982378422,0.05940788688491214,0.06720771698762278,0.27460175934961634,0.13330618720996357,0.15396064280147992,0.1439774219139421,0.11861919839369836,0.13006269350388588,0.1574989995717465,0.13515259163571774,0.1607284521795295,0.49999999999999994,-0.8660254037844387,485
